"","date","burke.north","burke.south","fremont.west","fremont.east","weekday"
"1",2017-05-01,332,329,1061,1042,"Monday"
"2",2017-05-02,517,559,1630,1983,"Tuesday"
"3",2017-05-03,661,713,1677,2199,"Wednesday"
"4",2017-05-04,870,809,1968,2563,"Thursday"
"5",2017-05-05,323,356,1110,1575,"Friday"
"6",2017-05-06,946,1094,1123,1441,"Saturday"
"7",2017-05-07,1292,1269,1071,979,"Sunday"
"8",2017-05-08,678,620,1633,1480,"Monday"
"9",2017-05-09,858,926,2154,2708,"Tuesday"
"10",2017-05-10,950,982,2149,2872,"Wednesday"
"11",2017-05-11,431,465,1537,2206,"Thursday"
"12",2017-05-12,417,395,1252,1939,"Friday"
"13",2017-05-13,672,772,808,1235,"Saturday"
"14",2017-05-14,465,490,548,503,"Sunday"
"15",2017-05-15,357,284,1116,1040,"Monday"
"16",2017-05-16,217,284,931,1487,"Tuesday"
"17",2017-05-17,567,588,1576,1892,"Wednesday"
"18",2017-05-18,729,715,1819,2530,"Thursday"
"19",2017-05-19,993,1032,2571,2904,"Friday"
"20",2017-05-20,1440,1538,1380,2102,"Saturday"
"21",2017-05-21,1561,1521,1283,1215,"Sunday"
"22",2017-05-22,849,799,1923,1832,"Monday"
"23",2017-05-23,961,943,2377,3139,"Tuesday"
"24",2017-05-24,729,772,2026,2781,"Wednesday"
"25",2017-05-25,816,847,2070,2681,"Thursday"
"26",2017-05-26,919,1064,2134,3047,"Friday"
"27",2017-05-27,1237,1386,1347,1730,"Saturday"
"28",2017-05-28,1240,1314,1246,1524,"Sunday"
"29",2017-05-29,1365,1300,1050,1216,"Monday"
"30",2017-05-30,532,457,1395,1442,"Tuesday"
"31",2017-05-31,653,705,1743,2356,"Wednesday"
"32",2017-06-01,497,481,1693,2343,"Thursday"
"33",2017-06-02,689,775,1767,2359,"Friday"
"34",2017-06-03,1056,1323,1182,1630,"Saturday"
"35",2017-06-04,1129,1159,1074,1055,"Sunday"
"36",2017-06-05,801,633,1654,1585,"Monday"
"37",2017-06-06,843,941,2094,2921,"Tuesday"
"38",2017-06-07,925,971,2175,2890,"Wednesday"
"39",2017-06-08,478,556,1372,2019,"Thursday"
"40",2017-06-09,501,518,1398,1906,"Friday"
"41",2017-06-10,1032,1203,1299,1645,"Saturday"
"42",2017-06-11,1248,1321,1196,1184,"Sunday"
"43",2017-06-12,707,546,1514,1497,"Monday"
"44",2017-06-13,414,500,1459,2159,"Tuesday"
"45",2017-06-14,684,657,1663,2320,"Wednesday"
"46",2017-06-15,442,512,1251,1920,"Thursday"
"47",2017-06-16,424,498,1339,1775,"Friday"
"48",2017-06-17,1081,1296,1007,1588,"Saturday"
"49",2017-06-18,746,883,832,847,"Sunday"
"50",2017-06-19,758,580,1467,1482,"Monday"
"51",2017-06-20,609,611,1775,2369,"Tuesday"
"52",2017-06-21,703,742,1785,2479,"Wednesday"
"53",2017-06-22,835,899,2068,2814,"Thursday"
"54",2017-06-23,910,1025,2043,2890,"Friday"
"55",2017-06-24,1394,1593,1366,1855,"Saturday"
"56",2017-06-25,1290,1288,1112,1178,"Sunday"
"57",2017-06-26,737,575,1526,1556,"Monday"
"58",2017-06-27,818,828,1956,2660,"Tuesday"
"59",2017-06-28,849,915,1922,2618,"Wednesday"
"60",2017-06-29,892,933,1982,2740,"Thursday"
"61",2017-06-30,895,989,1950,2857,"Friday"
"62",2017-07-01,1268,1520,1207,1794,"Saturday"
"63",2017-07-02,1236,1289,1151,1118,"Sunday"
"64",2017-07-03,1079,1002,1209,1463,"Monday"
"65",2017-07-04,1366,1528,1401,1599,"Tuesday"
"66",2017-07-05,873,680,1831,1984,"Wednesday"
"67",2017-07-06,912,919,2007,2794,"Thursday"
"68",2017-07-07,920,1034,1890,2864,"Friday"
"69",2017-07-08,1411,1658,1556,2410,"Saturday"
"70",2017-07-09,1370,1479,1166,1213,"Sunday"
"71",2017-07-10,863,655,1722,1781,"Monday"
"72",2017-07-11,814,890,2004,2868,"Tuesday"
"73",2017-07-12,921,972,2177,2986,"Wednesday"
"74",2017-07-13,824,915,1973,2795,"Thursday"
"75",2017-07-14,826,933,1765,2339,"Friday"
"76",2017-07-15,1227,1379,1317,1985,"Saturday"
"77",2017-07-16,1221,1180,1074,1176,"Sunday"
"78",2017-07-17,817,707,1632,1800,"Monday"
"79",2017-07-18,881,907,2088,2969,"Tuesday"
"80",2017-07-19,869,924,2101,3128,"Wednesday"
"81",2017-07-20,734,798,1898,2834,"Thursday"
"82",2017-07-21,729,814,1846,2651,"Friday"
"83",2017-07-22,1039,1299,1282,1839,"Saturday"
"84",2017-07-23,1102,1158,1058,1105,"Sunday"
"85",2017-07-24,876,669,1655,1886,"Monday"
"86",2017-07-25,843,914,2065,2924,"Tuesday"
"87",2017-07-26,894,990,2067,2992,"Wednesday"
"88",2017-07-27,715,742,1785,2637,"Thursday"
"89",2017-07-28,821,862,1745,2594,"Friday"
"90",2017-07-29,1156,1380,1405,1969,"Saturday"
"91",2017-07-30,1168,1189,1052,1156,"Sunday"
"92",2017-07-31,884,716,1722,1873,"Monday"
"93",2017-08-01,825,883,2107,3027,"Tuesday"
"94",2017-08-02,763,870,1974,2941,"Wednesday"
"95",2017-08-03,643,708,1677,2608,"Thursday"
"96",2017-08-04,623,664,1639,2468,"Friday"
"97",2017-08-05,935,1010,1148,1582,"Saturday"
"98",2017-08-06,1101,1146,1046,1162,"Sunday"
"99",2017-08-07,730,589,1476,1730,"Monday"
"100",2017-08-08,758,781,1916,2745,"Tuesday"
"101",2017-08-09,760,816,1935,2806,"Wednesday"
"102",2017-08-10,667,768,1857,2722,"Thursday"
"103",2017-08-11,699,764,1707,2591,"Friday"
"104",2017-08-12,886,1178,1304,1799,"Saturday"
"105",2017-08-13,715,773,1046,2374,"Sunday"
"106",2017-08-14,636,463,1508,1606,"Monday"
"107",2017-08-15,809,802,1974,2749,"Tuesday"
"108",2017-08-16,841,873,2093,2882,"Wednesday"
"109",2017-08-17,717,770,1976,2815,"Thursday"
"110",2017-08-18,832,2277,1696,2790,"Friday"
"111",2017-08-19,874,1028,1194,1747,"Saturday"
"112",2017-08-20,881,928,981,1003,"Sunday"
"113",2017-08-21,551,455,1290,1493,"Monday"
"114",2017-08-22,696,677,1717,2449,"Tuesday"
"115",2017-08-23,764,819,1836,2720,"Wednesday"
"116",2017-08-24,587,673,1808,2646,"Thursday"
"117",2017-08-25,698,741,1726,2652,"Friday"
"118",2017-08-26,1051,1174,1213,1834,"Saturday"
"119",2017-08-27,1003,1027,1089,1140,"Sunday"
"120",2017-08-28,695,536,1496,1663,"Monday"
"121",2017-08-29,774,766,1841,2844,"Tuesday"
"122",2017-08-30,714,756,1858,2671,"Wednesday"
"123",2017-08-31,583,617,1710,2504,"Thursday"
"124",2017-09-01,771,798,1689,2515,"Friday"
"125",2017-09-02,911,1092,1209,1560,"Saturday"
"126",2017-09-03,986,963,982,997,"Sunday"
"127",2017-09-04,1104,1116,1066,1022,"Monday"
"128",2017-09-05,556,413,1264,1432,"Tuesday"
"129",2017-09-06,400,412,1460,2138,"Wednesday"
